# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  392981.000000  392555.000000  51722.175481  0.497841  0.502159  445.246739  328.270951  0.062832  137642.451518  0.000024
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg          1532.026482     1190.773954      238.475766      221.806616
  DYJetsToLL_M_50                                     Bkg          4824.051874     5146.860246      205.839253      206.118758
  Data                                                Data       392981.000000   392555.000000      626.881967      626.542098
  ST_s-channel_4f_leptonDecays                        Bkg            25.075639       25.629968        1.304469        1.296974
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            65.123382       67.688024        1.939124        1.972903
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            75.958028       74.744099        1.982487        1.950760
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          6805.589406     6780.585622       25.609623       25.550557
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          6770.927311     6764.288016       25.500923       25.524125
  TTWJetsToLNu                                        Bkg           280.965460      281.284956        1.043625        1.043515
  TTWJetsToQQ                                         Bkg           225.046220      221.272014        4.256035        4.252343
  TTZToLLNuNu                                         Bkg           217.938362      217.973492        0.817829        0.816948
  TTZToQQ                                             Bkg           311.736361      312.705483        0.648222        0.648569
  TTbar_AllHadronic                                   Bkg             7.087391        9.358627        0.720090        0.804661
  TTbar_SemiLeptonic                                  Bkg          4455.094929     4437.969648       14.222367       14.192552
  TTbar_Signal                                        Signal     385066.935654   385048.127846      117.524513      117.409157
  WJetsToLNu                                          Bkg          -145.613300      140.703322      312.036041      120.172993
  WW                                                  Bkg           199.856787      192.950119        8.439772        8.392442
  WZ                                                  Bkg            44.063576       42.787165        3.637627        3.591889
  ZZ                                                  Bkg            54.491392       65.181423        3.819468        4.217827

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  392241.000000  393295.000000  51722.175481  0.503579  0.496421  416.428709  364.134050  0.062832  137642.451518  -0.000053
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg          1465.975510     1256.824926      227.182766      233.359930
