# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.000885  0.001208  -0.001208  84.850722  0.102522  -0.102445  -9332933.210594  3
O2  -0.001941  0.001208  -0.001208  84.850722  0.102522  -0.102445  -9332933.802191  3
O3  -0.001383  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.095450  3
O4  0.001383  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.095450  3
O5  0.000051  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.736694  3
O6  0.000144  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.331928  3
O7  -0.001251  0.001208  -0.001208  84.850722  0.102522  -0.102445  -9332933.741817  3
O8  0.001049  0.001208  -0.001208  84.850722  0.102522  -0.102445  -9332933.128755  3
O9  -0.001913  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332934.612479  3
O10  0.002591  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.645599  3
O11  0.001432  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.643234  3
O12  -0.002954  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332934.400323  3
O13  -0.000901  0.001208  -0.001208  84.850717  0.102522  -0.102445  -9332933.096430  3
