# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  41174.000000  41119.000000  7104.753172  0.488100  0.511900  164.472920  167.563608  0.006663  137642.451518  -0.000352
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           306.059276      356.932999      125.873999      119.835722
  DYJetsToLL_M_50                                     Bkg          1378.681770     1446.380831      105.097659      106.551278
  Data                                                Data        41174.000000    41119.000000      202.913775      202.778204
  ST_s-channel_4f_leptonDecays                        Bkg             1.220019        1.169983        0.292245        0.308609
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.022403        3.910908        0.410481        0.460437
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             3.307108        4.345833        0.419673        0.457905
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           709.045152      705.413209        8.297570        8.274017
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           696.635640      705.701641        8.233053        8.277847
  TTWJetsToLNu                                        Bkg            29.870627       29.891052        0.339097        0.341043
  TTWJetsToQQ                                         Bkg            25.953967       24.221046        1.428055        1.437701
  TTZToLLNuNu                                         Bkg            26.509904       26.899243        0.285354        0.286199
  TTZToQQ                                             Bkg            35.179174       35.127952        0.216583        0.216868
  TTbar_AllHadronic                                   Bkg             0.064831        0.238596        0.064831        0.119364
  TTbar_SemiLeptonic                                  Bkg           215.448836      208.758534        3.124885        3.078951
  TTbar_Signal                                        Signal      40818.830490    40847.568271       38.437748       38.455025
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg            17.253423       13.896599        2.690798        2.326640
  WZ                                                  Bkg             4.306798        8.006135        1.089229        1.644580
  ZZ                                                  Bkg            15.271321       19.110676        2.004639        2.257181

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  41112.000000  41181.000000  7104.753172  0.515959  0.484041  171.943425  159.888594  0.006663  137642.451518  -0.000714
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           344.786327      318.205948      126.168131      119.526008
  DYJetsToLL_M_50                                     Bkg          1482.393861     1342.668740      106.210699      105.441833
