# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.002981  0.003815  -0.003816  81.984523  0.313151  -0.312443  -792061.432485  3
O2  -0.003934  0.003816  -0.003815  81.984523  0.313151  -0.312444  -792061.443033  3
O3  -0.010721  0.003816  -0.003815  81.984519  0.313156  -0.312439  -792062.040169  3
O4  0.010721  0.003815  -0.003816  81.984521  0.313153  -0.312441  -792062.040169  3
O5  0.008014  0.003815  -0.003816  81.984519  0.313154  -0.312440  -792063.422950  3
O6  0.010416  0.003815  -0.003816  81.984518  0.313156  -0.312439  -792062.137286  3
O7  0.005478  0.003815  -0.003816  81.984520  0.313153  -0.312441  -792061.834367  3
O8  -0.000487  0.003816  -0.003815  81.984554  0.313120  -0.312474  -792061.458004  3
O9  -0.001677  0.003816  -0.003815  81.984531  0.313143  -0.312451  -792061.541851  3
O10  0.002236  0.003815  -0.003816  81.984532  0.313142  -0.312452  -792061.439776  3
O11  0.011430  0.003815  -0.003816  81.984519  0.313155  -0.312439  -792062.988253  3
O12  -0.000819  0.003814  -0.003816  81.984565  0.313109  -0.312486  -792061.571598  3
O13  0.002163  0.003815  -0.003816  81.984529  0.313146  -0.312450  -792061.416785  3
