# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  266807.000000  267365.000000  28512.888837  0.493344  0.506656  322.101227  130.527139  0.042958  137642.451518  0.000034
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000      -10.275409        0.000000       10.275409
  DYJetsToLL_M_50                                     Bkg           749.706013      903.363164       72.626814       75.381775
  Data                                                Data       266807.000000   267365.000000      516.533639      517.073496
  ST_s-channel_4f_leptonDecays                        Bkg            17.678331       16.910349        1.082383        1.051939
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            43.178120       42.437882        1.559087        1.552597
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            53.737954       48.864562        1.647175        1.575469
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          4687.736699     4668.345480       21.092150       21.031347
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          4670.039836     4682.715414       20.998508       21.070060
  TTWJetsToLNu                                        Bkg           192.627203      191.893471        0.858729        0.856927
  TTWJetsToQQ                                         Bkg           151.095256      145.806727        3.455704        3.436055
  TTZToLLNuNu                                         Bkg           140.493108      140.994212        0.651715        0.650378
  TTZToQQ                                             Bkg           207.620364      208.405530        0.526379        0.526752
  TTbar_AllHadronic                                   Bkg             4.362463        5.935348        0.551565        0.636764
  TTbar_SemiLeptonic                                  Bkg          3108.760742     3084.114543       11.815073       11.764305
  TTbar_Signal                                        Signal     263270.687508   263253.036588       96.362553       96.226123
  WJetsToLNu                                          Bkg          -145.613300      139.562831      312.036041      100.721037
  WW                                                  Bkg           148.143843      139.941115        7.202372        7.072077
  WZ                                                  Bkg            24.480035       20.859783        2.737252        2.440880
  ZZ                                                  Bkg            12.603389       16.363781        1.809891        2.080566

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  266615.000000  267557.000000  28512.888837  0.500705  0.499295  283.006126  201.727706  0.042958  137642.451518  0.000122
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
