# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  -0.000353  0.001445  -0.001445  85.519502  0.123665  -0.123552  -6140481.562382  3
O2  -0.001943  0.001446  -0.001445  85.519539  0.123627  -0.123589  -6140482.101535  3
O3  -0.001314  0.001446  -0.001444  85.519554  0.123605  -0.123611  -6140481.644809  3
O4  0.001314  0.001444  -0.001446  85.519554  0.123605  -0.123611  -6140481.644809  3
O5  0.000215  0.001445  -0.001445  85.519495  0.123665  -0.123552  -6140482.009037  3
O6  -0.000670  0.001445  -0.001445  85.519495  0.123665  -0.123552  -6140481.400468  3
O7  -0.001140  0.001446  -0.001444  85.519574  0.123593  -0.123624  -6140481.351843  3
O8  -0.000451  0.001445  -0.001445  85.519502  0.123665  -0.123552  -6140481.568684  3
O9  -0.002494  0.001446  -0.001445  85.519525  0.123634  -0.123582  -6140482.148018  3
O10  0.001223  0.001444  -0.001446  85.519566  0.123594  -0.123623  -6140481.289811  3
O11  -0.000643  0.001445  -0.001445  85.519495  0.123665  -0.123552  -6140481.331326  3
O12  -0.001225  0.001446  -0.001444  85.519563  0.123596  -0.123621  -6140481.408959  3
O13  -0.002833  0.001446  -0.001445  85.519522  0.123637  -0.123580  -6140481.587992  3
