# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  85000.000000  84071.000000  16104.533471  0.510101  0.489899  259.700051  250.293669  0.013211  137642.451518  0.000185
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg          1225.967207      844.116363      202.549815      186.365207
  DYJetsToLL_M_50                                     Bkg          2695.664092     2797.116252      161.398965      159.528542
  Data                                                Data        85000.000000    84071.000000      291.547595      289.949996
  ST_s-channel_4f_leptonDecays                        Bkg             6.177289        7.549635        0.666843        0.693055
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            18.922859       21.339234        1.077477        1.126849
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            18.912966       21.533704        1.020267        1.055313
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1408.807555     1406.826934       11.921591       11.918643
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          1404.251834     1375.870961       11.898595       11.790285
  TTWJetsToLNu                                        Bkg            58.467630       59.500434        0.486571        0.488148
  TTWJetsToQQ                                         Bkg            47.996998       51.244242        2.032879        2.051577
  TTZToLLNuNu                                         Bkg            50.935350       50.080037        0.403343        0.403115
  TTZToQQ                                             Bkg            68.936822       69.172002        0.310176        0.310068
  TTbar_AllHadronic                                   Bkg             2.660097        3.184684        0.458369        0.477244
  TTbar_SemiLeptonic                                  Bkg          1130.885351     1145.096571        7.274261        7.317766
  TTbar_Signal                                        Signal      80977.417656    80947.522988       55.216022       55.196508
  WJetsToLNu                                          Bkg             0.000000      -45.777195        0.000000       45.777195
  WW                                                  Bkg            34.459521       39.112405        3.480687        3.873700
  WZ                                                  Bkg            15.276743       13.921246        2.133861        2.058914
  ZZ                                                  Bkg            26.616681       29.706966        2.700751        2.892481

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  84514.000000  84557.000000  16104.533471  0.503206  0.496794  252.499229  257.556162  0.013211  137642.451518  -0.000288
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg          1131.464592      938.618978      188.647893      200.425523
  DYJetsToLL_M_50                                     Bkg          2751.593591     2741.186753      160.332581      160.600264
  Data                                                Data        84514.000000    84557.000000      290.712917      290.786864
  ST_s-channel_4f_leptonDecays                        Bkg             6.949906        6.777019        0.661698        0.697968
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            21.012181       19.249912        1.128620        1.075622
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            21.019826       19.426844        1.064916        1.010239
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1400.828305     1414.806184       11.882998       11.957120
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          1385.647227     1394.475569       11.813864       11.875184
  TTWJetsToLNu                                        Bkg            58.648805       59.319259        0.486403        0.488316
  TTWJetsToQQ                                         Bkg            50.611452       48.629787        2.058532        2.025837
  TTZToLLNuNu                                         Bkg            49.801916       51.213472        0.403550        0.402908
  TTZToQQ                                             Bkg            69.118948       68.989877        0.310284        0.309959
  TTbar_AllHadronic                                   Bkg             3.295844        2.548937        0.504926        0.427685
  TTbar_SemiLeptonic                                  Bkg          1124.319552     1151.662370        7.253680        7.338167
