# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.003947  0.002687  -0.002689  84.121665  0.226287  -0.225960  -1749029.678667  3
O2  -0.000957  0.002689  -0.002687  84.121705  0.226247  -0.226000  -1749027.131819  3
O3  0.002975  0.002687  -0.002689  84.121663  0.226289  -0.225958  -1749029.949231  3
O4  -0.002975  0.002689  -0.002687  84.121663  0.226289  -0.225958  -1749029.949231  3
O5  -0.004409  0.002689  -0.002687  84.121669  0.226283  -0.225965  -1749027.749407  3
O6  -0.002215  0.002689  -0.002687  84.121665  0.226287  -0.225960  -1749028.131520  3
O7  -0.004927  0.002689  -0.002687  84.121671  0.226281  -0.225966  -1749029.949231  3
O8  0.006760  0.002687  -0.002689  84.121678  0.226274  -0.225973  -1749028.612953  3
O9  -0.000111  0.002687  -0.002689  84.121717  0.226235  -0.226012  -1749027.675710  3
O10  0.007289  0.002687  -0.002689  84.121679  0.226273  -0.225974  -1749028.672242  3
O11  0.003377  0.002687  -0.002689  84.121664  0.226287  -0.225960  -1749028.465819  3
O12  -0.009722  0.002689  -0.002687  84.121689  0.226263  -0.225984  -1749029.453103  3
O13  0.003976  0.002687  -0.002689  84.121666  0.226286  -0.225962  -1749027.910712  3
