# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  51596.000000  51478.000000  6829.172974  0.487749  0.512251  115.665844  136.687076  0.068012  16812.151722  -0.000092
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           161.323668      269.690892       72.107178       84.956730
  DYJetsToLL_M_50                                     Bkg           698.384836      797.745599       79.433327       83.492971
  Data                                                Data        51596.000000    51478.000000      227.147529      226.887637
  ST_s-channel_4f_leptonDecays                        Bkg             3.426903        2.943277        0.476939        0.466475
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.418482        5.751518        0.608128        0.569357
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.638345        8.621855        0.698631        0.636580
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           850.598196      834.410624        8.599935        8.479270
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           841.515716      856.582152        9.301594        9.426331
  TTWJetsToLNu                                        Bkg            37.002350       37.786924        0.386250        0.388433
  TTWJetsToQQ                                         Bkg            33.230514       32.398349        1.646360        1.599558
  TTZToLLNuNu                                         Bkg            29.032214       29.846571        0.313059        0.315450
  TTZToQQ                                             Bkg            43.367663       43.361801        0.249827        0.250062
  TTbar_AllHadronic                                   Bkg             0.852623        1.299459        0.259650        0.314348
  TTbar_SemiLeptonic                                  Bkg           544.408274      541.191333        5.252273        5.198070
  TTbar_Signal                                        Signal      50905.697217    50915.048597       43.779724       43.780225
  WJetsToLNu                                          Bkg            40.895298        1.140492       40.895298       65.550140
  WW                                                  Bkg            18.850275       20.628653        1.540495        1.621949
  WZ                                                  Bkg             4.897343        4.884692        0.720157        0.729930
  ZZ                                                  Bkg             7.082609        9.963475        1.390682        1.720214

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  51510.000000  51564.000000  6829.172974  0.493988  0.506012  134.024234  118.741100  0.068012  16812.151722  -0.000644
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           225.298333      205.716227       73.118451       84.087949
  DYJetsToLL_M_50                                     Bkg           685.387522      810.742912       80.315618       82.644607
  Data                                                Data        51510.000000    51564.000000      226.958146      227.077079
  ST_s-channel_4f_leptonDecays                        Bkg             3.262051        3.108130        0.488530        0.454322
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.731055        5.438945        0.622289        0.553845
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.368030        8.892170        0.686189        0.649972
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           838.992172      846.016648        8.525011        8.554594
