# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.002965  0.003335  -0.003336  84.171772  0.281055  -0.280502  -1015284.664989  3
O2  0.000293  0.003335  -0.003337  84.171845  0.280981  -0.280575  -1015284.611591  3
O3  -0.002446  0.003336  -0.003335  84.171785  0.281041  -0.280515  -1015284.692523  3
O4  0.002446  0.003335  -0.003336  84.171784  0.281042  -0.280514  -1015284.692523  3
O5  0.004121  0.003335  -0.003336  84.171766  0.281060  -0.280496  -1015285.226122  3
O6  0.000637  0.003335  -0.003336  84.171901  0.280926  -0.280631  -1015284.616092  3
O7  0.003420  0.003335  -0.003336  84.171768  0.281059  -0.280499  -1015284.703699  3
O8  0.000495  0.003337  -0.003335  84.171887  0.280940  -0.280616  -1015284.679426  3
O9  0.000055  0.003335  -0.003336  84.171901  0.280926  -0.280631  -1015284.603732  3
O10  -0.001188  0.003337  -0.003335  84.171798  0.281029  -0.280529  -1015284.598396  3
O11  -0.001815  0.003336  -0.003335  84.171785  0.281041  -0.280515  -1015284.616092  3
O12  -0.005352  0.003336  -0.003335  84.171766  0.281059  -0.280497  -1015285.571041  3
O13  0.002099  0.003335  -0.003336  84.171790  0.281037  -0.280519  -1015284.905497  3
