# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  6891.000000  6929.000000  1237.772441  0.438259  0.561741  59.824025  78.365133  0.009138  16812.151722  -0.002199
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            56.968355      129.412057       43.331965       44.788578
  DYJetsToLL_M_50                                     Bkg           203.742587      229.448739       40.958574       43.686206
  Data                                                Data         6891.000000     6929.000000       83.012047       83.240615
  ST_s-channel_4f_leptonDecays                        Bkg             0.305288        0.246575        0.122906        0.134605
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.406108        0.355734        0.138974        0.117470
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.538105        0.852739        0.161042        0.197661
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           114.425618      109.209447        3.140029        3.063089
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           106.839706      117.905735        3.321697        3.477594
  TTWJetsToLNu                                        Bkg             4.869782        5.062198        0.138833        0.143510
  TTWJetsToQQ                                         Bkg             5.327618        4.218252        0.602918        0.611555
  TTZToLLNuNu                                         Bkg             4.371760        4.587245        0.121328        0.121176
  TTZToQQ                                             Bkg             6.231194        5.871785        0.093841        0.092577
  TTbar_AllHadronic                                   Bkg             0.000000        0.000000        0.000000        0.000000
  TTbar_SemiLeptonic                                  Bkg            34.550495       33.796767        1.322684        1.311546
  TTbar_Signal                                        Signal       6824.831907     6854.909575       15.957010       16.001692
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg             1.645640        2.928877        0.448313        0.686221
  WZ                                                  Bkg             1.054721        1.119625        0.325600        0.338491
  ZZ                                                  Bkg             1.187369        3.374632        0.483076        1.026025

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  6841.000000  6979.000000  1237.772441  0.541365  0.458635  78.213680  60.021898  0.009138  16812.151722  -0.003315
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           101.650493       84.729919       46.227206       41.793795
  DYJetsToLL_M_50                                     Bkg           237.739704      195.451622       41.895321       42.788684
  Data                                                Data         6841.000000     6979.000000       82.710338       83.540409
  ST_s-channel_4f_leptonDecays                        Bkg             0.357355        0.194508        0.158665        0.089720
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.461704        0.300138        0.136856        0.119931
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.544626        0.846218        0.157174        0.200750
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           112.021402      111.613663        3.124144        3.079289
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           109.812300      114.933141        3.358253        3.442305
  TTWJetsToLNu                                        Bkg             4.941085        4.990895        0.140894        0.141488
  TTWJetsToQQ                                         Bkg             4.908497        4.637373        0.604786        0.609708
  TTZToLLNuNu                                         Bkg             4.531485        4.427520        0.122058        0.120440
  TTZToQQ                                             Bkg             6.085656        6.017323        0.093349        0.093074
  TTbar_AllHadronic                                   Bkg             0.000000        0.000000        0.000000        0.000000
  TTbar_SemiLeptonic                                  Bkg            36.201875       32.145388        1.350137        1.283268
  TTbar_Signal                                        Signal       6817.198845     6862.542637       15.937345       16.021278
  WJetsToLNu                                          Bkg            46.917687        0.000000       46.917687        0.000000
  WW                                                  Bkg             1.873319        2.701198        0.519254        0.634240
  WZ                                                  Bkg             0.850240        1.324107        0.277517        0.378914
  ZZ                                                  Bkg             1.189543        3.372457        0.502441        1.016682

# ===== O3 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O3  6809.000000  7011.000000  1237.772441  0.507608  0.492392  78.307093  59.899976  0.009138  16812.151722  -0.001737
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            79.224652      107.155760       46.247224       41.771643
  DYJetsToLL_M_50                                     Bkg           218.110540      215.080785       42.047530       42.639121
  Data                                                Data         6809.000000     7011.000000       82.516665       83.731714
  ST_s-channel_4f_leptonDecays                        Bkg             0.382967        0.168896        0.126468        0.131264
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.412519        0.349323        0.131758        0.125510
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.533760        0.857084        0.155161        0.202310
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           114.181046      109.454019        3.155807        3.046830
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           109.194902      115.550539        3.333096        3.466670
  TTWJetsToLNu                                        Bkg             5.057077        4.874903        0.141170        0.141212
  TTWJetsToQQ                                         Bkg             5.422119        4.123750        0.627983        0.585788
  TTZToLLNuNu                                         Bkg             4.494656        4.464350        0.121975        0.120525
  TTZToQQ                                             Bkg             6.118965        5.984014        0.093663        0.092758
  TTbar_AllHadronic                                   Bkg             0.000000        0.000000        0.000000        0.000000
  TTbar_SemiLeptonic                                  Bkg            34.290829       34.056434        1.322309        1.311924
  TTbar_Signal                                        Signal       6828.008090     6851.766129       15.964154       15.994597
  WJetsToLNu                                          Bkg            46.917687        0.000000       46.917687        0.000000
  WW                                                  Bkg             1.666823        2.907695        0.499564        0.649862
  WZ                                                  Bkg             0.996437        1.177909        0.326917        0.337220
  ZZ                                                  Bkg             1.298258        3.263743        0.511957        1.011923

# ===== O4 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O4  7011.000000  6809.000000  1237.772441  0.492392  0.507608  59.899976  78.307093  0.009138  16812.151722  0.001737
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           107.155760       79.224652       41.771643       46.247224
  DYJetsToLL_M_50                                     Bkg           215.080785      218.110540       42.639121       42.047530
  Data                                                Data         7011.000000     6809.000000       83.731714       82.516665
  ST_s-channel_4f_leptonDecays                        Bkg             0.168896        0.382967        0.131264        0.126468
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.349323        0.412519        0.125510        0.131758
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.857084        0.533760        0.202310        0.155161
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           109.454019      114.181046        3.046830        3.155807
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           115.550539      109.194902        3.466670        3.333096
  TTWJetsToLNu                                        Bkg             4.874903        5.057077        0.141212        0.141170
  TTWJetsToQQ                                         Bkg             4.123750        5.422119        0.585788        0.627983
  TTZToLLNuNu                                         Bkg             4.464350        4.494656        0.120525        0.121975
  TTZToQQ                                             Bkg             5.984014        6.118965        0.092758        0.093663
  TTbar_AllHadronic                                   Bkg             0.000000        0.000000        0.000000        0.000000
  TTbar_SemiLeptonic                                  Bkg            34.056434       34.290829        1.311924        1.322309
  TTbar_Signal                                        Signal       6851.766129     6828.008090       15.994597       15.964154
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg             2.907695        1.666823        0.649862        0.499564
  WZ                                                  Bkg             1.177909        0.996437        0.337220        0.326917
  ZZ                                                  Bkg             3.263743        1.298258        1.011923        0.511957

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  6897.000000  6923.000000  1237.772441  0.421222  0.578778  63.016559  75.821641  0.009138  16812.151722  -0.001366
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            89.891606       96.488806       47.482206       40.362310
  DYJetsToLL_M_50                                     Bkg           148.070085      285.121240       41.136413       43.518788
  Data                                                Data         6897.000000     6923.000000       83.048179       83.204567
  ST_s-channel_4f_leptonDecays                        Bkg             0.257474        0.294390        0.128095        0.129676
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.253003        0.508839        0.102055        0.150658
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.686564        0.704280        0.177380        0.183142
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           112.621629      111.013437        3.116410        3.087116
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           110.330739      114.414702        3.367893        3.432874
  TTWJetsToLNu                                        Bkg             4.832644        5.099336        0.141707        0.140673
  TTWJetsToQQ                                         Bkg             4.409820        5.136049        0.601337        0.613110
  TTZToLLNuNu                                         Bkg             4.518145        4.440860        0.122474        0.120017
  TTZToQQ                                             Bkg             6.073193        6.029786        0.093152        0.093271
  TTbar_AllHadronic                                   Bkg             0.000000        0.000000        0.000000        0.000000
  TTbar_SemiLeptonic                                  Bkg            33.130031       35.217232        1.277679        1.355427
  TTbar_Signal                                        Signal       6830.544151     6849.230068       15.966725       15.992031
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg             2.867160        1.707357        0.645368        0.505356
  WZ                                                  Bkg             1.025264        1.149082        0.300258        0.361160
  ZZ                                                  Bkg             2.409356        2.152644        0.815389        0.788181

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  6976.000000  6844.000000  1237.772441  0.517553  0.482447  59.392364  78.692789  0.009138  16812.151722  0.001875
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           100.863529       85.516883       40.792148       47.113444
  DYJetsToLL_M_50                                     Bkg           248.510744      184.680581       42.873948       41.808061
  Data                                                Data         6976.000000     6844.000000       83.522452       82.728472
  ST_s-channel_4f_leptonDecays                        Bkg             0.202018        0.349845        0.127016        0.130733
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.342652        0.419190        0.125573        0.131699
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.850348        0.540496        0.196257        0.162750
