# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.009127  0.009344  -0.009343  81.903969  0.767405  -0.763078  -108358.870593  3
O2  -0.019106  0.009343  -0.009343  81.903966  0.767408  -0.763076  -108359.507363  3
O3  -0.017552  0.009343  -0.009341  81.904044  0.767331  -0.763153  -108360.294668  3
O4  0.017552  0.009341  -0.009343  81.904044  0.767331  -0.763153  -108360.294668  3
O5  0.013433  0.009344  -0.009344  81.903959  0.767416  -0.763068  -108358.842807  3
O6  0.007037  0.009343  -0.009343  81.904041  0.767334  -0.763150  -108359.448750  3
O7  0.014472  0.009342  -0.009343  81.903974  0.767401  -0.763083  -108359.744564  3
O8  -0.000371  0.009343  -0.009344  81.904073  0.767302  -0.763182  -108358.948596  3
O9  -0.014505  0.009344  -0.009342  81.904043  0.767331  -0.763153  -108359.411122  3
O10  0.004447  0.009344  -0.009342  81.904162  0.767213  -0.763272  -108359.073633  3
O11  0.005533  0.009343  -0.009343  81.904072  0.767303  -0.763181  -108359.339340  3
O12  -0.009328  0.009342  -0.009343  81.904011  0.767364  -0.763120  -108359.322118  3
O13  0.001741  0.009343  -0.009343  81.904182  0.767193  -0.763291  -108359.027323  3
