# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  30411.000000  30632.000000  3166.164731  0.496293  0.503707  48.451232  32.261751  0.040763  16812.151722  0.000734
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000      -10.275409        0.000000       10.275409
  DYJetsToLL_M_50                                     Bkg            70.020724      145.022397       23.604884       28.582359
  Data                                                Data        30411.000000    30632.000000      174.387500      175.019999
  ST_s-channel_4f_leptonDecays                        Bkg             2.031003        1.618114        0.352192        0.357806
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.673952        3.758800        0.447439        0.433226
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             5.853047        4.801432        0.536779        0.465002
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           511.637412      505.638930        6.685467        6.597952
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           509.525150      518.295791        7.227100        7.351328
  TTWJetsToLNu                                        Bkg            22.342136       22.507910        0.299618        0.300457
  TTWJetsToQQ                                         Bkg            19.706457       19.805875        1.281082        1.206029
  TTZToLLNuNu                                         Bkg            16.089868       16.589500        0.233417        0.234428
  TTZToQQ                                             Bkg            25.281252       25.596107        0.190378        0.191169
  TTbar_AllHadronic                                   Bkg             0.390386        0.650693        0.165210        0.222752
  TTbar_SemiLeptonic                                  Bkg           329.308641      323.884646        4.082274        4.022480
  TTbar_Signal                                        Signal      30535.092097    30490.272396       33.896937       33.870385
  WJetsToLNu                                          Bkg            40.895298        0.000000       40.895298        0.000000
  WW                                                  Bkg            12.082820       12.780559        1.218097        1.258074
  WZ                                                  Bkg             1.458694        2.018151        0.394343        0.477019
  ZZ                                                  Bkg             1.048279        2.126116        0.462469        0.708399

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  30543.000000  30500.000000  3166.164731  0.494877  0.505123  50.018983  29.773207  0.040763  16812.151722  -0.000723
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg            74.253012      140.790109       24.605165       27.725939
  Data                                                Data        30543.000000    30500.000000      174.765557      174.642492
  ST_s-channel_4f_leptonDecays                        Bkg             1.600571        2.048546        0.342076        0.367489
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             4.056948        3.375804        0.448358        0.432275
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             5.867633        4.786846        0.534314        0.467832
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           510.060363      507.215979        6.657610        6.626059
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           517.865629      509.955312        7.309582        7.269320
  TTWJetsToLNu                                        Bkg            22.321639       22.528408        0.298745        0.301326
  TTWJetsToQQ                                         Bkg            19.104056       20.408276        1.255046        1.233101
  TTZToLLNuNu                                         Bkg            16.344815       16.334553        0.233300        0.234544
  TTZToQQ                                             Bkg            25.147581       25.729779        0.190397        0.191151
  TTbar_AllHadronic                                   Bkg             0.534878        0.506201        0.211922        0.178892
  TTbar_SemiLeptonic                                  Bkg           322.081422      331.111864        4.014694        4.089931
  TTbar_Signal                                        Signal      30490.632881    30534.731612       33.860943       33.906369
  WJetsToLNu                                          Bkg            40.895298        0.000000       40.895298        0.000000
  WW                                                  Bkg            13.867415       10.995965        1.281247        1.193697
  WZ                                                  Bkg             1.321765        2.155080        0.355852        0.506382
  ZZ                                                  Bkg             1.812987        1.361408        0.657083        0.532868

# ===== O3 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O3  30361.000000  30682.000000  3166.164731  0.507741  0.492259  50.563963  28.837964  0.040763  16812.151722  0.000187
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg           110.278944      104.764177       25.688722       26.725108
  Data                                                Data        30361.000000    30682.000000      174.244082      175.162781
  ST_s-channel_4f_leptonDecays                        Bkg             2.005602        1.643515        0.382046        0.325738
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             4.222184        3.210568        0.464786        0.414561
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             5.687138        4.967340        0.527753        0.475220
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           517.969981      499.306360        6.738899        6.543369
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           510.208820      517.612121        7.238209        7.340391
  TTWJetsToLNu                                        Bkg            22.465856       22.384191        0.299139        0.300935
  TTWJetsToQQ                                         Bkg            19.760117       19.752215        1.286252        1.200514
  TTZToLLNuNu                                         Bkg            16.277453       16.401915        0.233217        0.234626
  TTZToQQ                                             Bkg            25.377168       25.500191        0.190620        0.190928
  TTbar_AllHadronic                                   Bkg             0.664752        0.376327        0.226462        0.160088
  TTbar_SemiLeptonic                                  Bkg           325.104427      328.088860        4.036986        4.067930
  TTbar_Signal                                        Signal      30518.401376    30507.016149       33.881845       33.885523
  WJetsToLNu                                          Bkg            40.895298        0.000000       40.895298        0.000000
  WW                                                  Bkg            13.871581       10.991799        1.312007        1.159805
  WZ                                                  Bkg             1.837893        1.638952        0.433712        0.441529
  ZZ                                                  Bkg             1.240158        1.934237        0.506786        0.677402

# ===== O4 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O4  30682.000000  30361.000000  3166.164731  0.492259  0.507741  28.837964  50.563963  0.040763  16812.151722  -0.000187
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000      -10.275409        0.000000       10.275409
  DYJetsToLL_M_50                                     Bkg           104.764177      110.278944       26.725108       25.688722
  Data                                                Data        30682.000000    30361.000000      175.162781      174.244082
  ST_s-channel_4f_leptonDecays                        Bkg             1.643515        2.005602        0.325738        0.382046
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.210568        4.222184        0.414561        0.464786
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             4.967340        5.687138        0.475220        0.527753
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           499.306360      517.969981        6.543369        6.738899
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           517.612121      510.208820        7.340391        7.238209
  TTWJetsToLNu                                        Bkg            22.384191       22.465856        0.300935        0.299139
  TTWJetsToQQ                                         Bkg            19.752215       19.760117        1.200514        1.286252
  TTZToLLNuNu                                         Bkg            16.401915       16.277453        0.234626        0.233217
  TTZToQQ                                             Bkg            25.500191       25.377168        0.190928        0.190620
  TTbar_AllHadronic                                   Bkg             0.376327        0.664752        0.160088        0.226462
  TTbar_SemiLeptonic                                  Bkg           328.088860      325.104427        4.067930        4.036986
  TTbar_Signal                                        Signal      30507.016149    30518.401376       33.885523       33.881845
  WJetsToLNu                                          Bkg             0.000000       40.895298        0.000000       40.895298
  WW                                                  Bkg            10.991799       13.871581        1.159805        1.312007
  WZ                                                  Bkg             1.638952        1.837893        0.441529        0.433712
  ZZ                                                  Bkg             1.934237        1.240158        0.677402        0.506786

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  30774.000000  30269.000000  3166.164731  0.500432  0.499568  50.565993  28.834404  0.040763  16812.151722  0.000009
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg           100.540193      114.502928       25.714355       26.700445
  Data                                                Data        30774.000000    30269.000000      175.425198      173.979884
  ST_s-channel_4f_leptonDecays                        Bkg             2.005008        1.644109        0.351491        0.358494
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.295548        4.137204        0.427282        0.453119
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             4.985585        5.668894        0.484014        0.519700
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           503.571959      513.704382        6.616961        6.666653
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           514.652778      513.168164        7.287735        7.291223
  TTWJetsToLNu                                        Bkg            22.258252       22.591795        0.301721        0.298346
  TTWJetsToQQ                                         Bkg            20.103196       19.409135        1.241534        1.246705
  TTZToLLNuNu                                         Bkg            16.331701       16.347667        0.235245        0.232593
  TTZToQQ                                             Bkg            25.436860       25.440499        0.191135        0.190412
  TTbar_AllHadronic                                   Bkg             0.501610        0.539469        0.186809        0.204977
  TTbar_SemiLeptonic                                  Bkg           324.701692      328.491594        4.043906        4.061051
  TTbar_Signal                                        Signal      30512.969133    30512.448392       33.888789       33.878579
  WJetsToLNu                                          Bkg            40.895298        0.000000       40.895298        0.000000
  WW                                                  Bkg            11.469490       13.393890        1.174849        1.298553
  WZ                                                  Bkg             1.696148        1.780697        0.450408        0.424482
  ZZ                                                  Bkg             2.281431        0.892964        0.742254        0.405914

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  30595.000000  30448.000000  3166.164731  0.488707  0.511293  27.999366  51.033107  0.040763  16812.151722  -0.000658
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000      -10.275409        0.000000       10.275409
  DYJetsToLL_M_50                                     Bkg            84.697535      130.345586       25.801693       26.616057
  Data                                                Data        30595.000000    30448.000000      174.914265      174.493553
  ST_s-channel_4f_leptonDecays                        Bkg             1.774090        1.875027        0.365918        0.343756
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             4.025761        3.406991        0.448458        0.432172
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             5.132150        5.522328        0.497537        0.506768
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           510.499374      506.776967        6.628930        6.654751
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           514.298192      513.522749        7.305195        7.273729
  TTWJetsToLNu                                        Bkg            22.384879       22.465168        0.300575        0.299500
  TTWJetsToQQ                                         Bkg            19.623944       19.888388        1.209705        1.277612
  TTZToLLNuNu                                         Bkg            16.713660       15.965708        0.235521        0.232313
  TTZToQQ                                             Bkg            25.537918       25.339441        0.190843        0.190705
  TTbar_AllHadronic                                   Bkg             0.573362        0.467717        0.216767        0.172989
  TTbar_SemiLeptonic                                  Bkg           325.830065      327.363222        4.044892        4.060069
  TTbar_Signal                                        Signal      30492.621666    30532.795858       33.876844       33.890523
  WJetsToLNu                                          Bkg             0.000000       40.895298        0.000000       40.895298
  WW                                                  Bkg            13.065303       11.798076        1.307138        1.165289
  WZ                                                  Bkg             1.390601        2.086244        0.394384        0.476984
  ZZ                                                  Bkg             1.778721        1.395674        0.654279        0.536307

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  30593.000000  30450.000000  3166.164731  0.498070  0.501930  30.492431  49.583809  0.040763  16812.151722  -0.001242
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg           128.387684       86.655437       26.575429       25.843537
  Data                                                Data        30593.000000    30450.000000      174.908548      174.499284
  ST_s-channel_4f_leptonDecays                        Bkg             1.773303        1.875814        0.366123        0.343538
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.433339        3.999413        0.428410        0.452053
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             5.351887        5.302591        0.495535        0.508726
