# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  -0.003414  0.004270  -0.004268  84.453954  0.360945  -0.360099  -569298.810650  3
O2  0.001304  0.004268  -0.004270  84.453989  0.360911  -0.360134  -569298.425740  3
O3  -0.006392  0.004268  -0.004269  84.453932  0.360968  -0.360077  -569299.254602  3
O4  0.006392  0.004269  -0.004268  84.453932  0.360968  -0.360077  -569299.254602  3
O5  0.008677  0.004269  -0.004268  84.453947  0.360953  -0.360092  -569300.499515  3
O6  0.003776  0.004268  -0.004269  84.454017  0.360883  -0.360162  -569298.587593  3
O7  0.002683  0.004268  -0.004270  84.453953  0.360947  -0.360098  -569298.578092  3
O8  -0.005089  0.004269  -0.004268  84.453895  0.361005  -0.360040  -569299.192678  3
O9  0.000355  0.004268  -0.004270  84.454032  0.360868  -0.360177  -569298.464336  3
O10  -0.000015  0.004270  -0.004268  84.453983  0.360917  -0.360128  -569298.424364  3
O11  -0.001051  0.004270  -0.004268  84.454035  0.360865  -0.360180  -569298.437207  3
O12  -0.003543  0.004270  -0.004268  84.453978  0.360922  -0.360123  -569298.559875  3
O13  0.001889  0.004268  -0.004270  84.453972  0.360928  -0.360117  -569298.542707  3
