# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  14294.000000  13917.000000  2425.235802  0.501855  0.498145  86.325846  107.244776  0.018112  16812.151722  -0.000889
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           104.355313      150.554244       57.634936       71.456597
  DYJetsToLL_M_50                                     Bkg           424.621525      423.274463       63.834615       65.158578
  Data                                                Data        14294.000000    13917.000000      119.557518      117.970335
  ST_s-channel_4f_leptonDecays                        Bkg             1.090612        1.078588        0.297197        0.267312
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.338422        1.636983        0.387691        0.350263
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             3.247193        2.967684        0.417157        0.387218
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           224.535166      219.562247        4.404955        4.356895
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           225.150860      220.380626        4.822343        4.766554
  TTWJetsToLNu                                        Bkg             9.790431       10.216815        0.200357        0.200026
  TTWJetsToQQ                                         Bkg             8.196439        8.374223        0.840130        0.854448
  TTZToLLNuNu                                         Bkg             8.570586        8.669825        0.169712        0.172826
  TTZToQQ                                             Bkg            11.855217       11.893909        0.131771        0.131965
  TTbar_AllHadronic                                   Bkg             0.462237        0.648766        0.200309        0.221801
  TTbar_SemiLeptonic                                  Bkg           180.549139      183.509919        3.028517        3.019839
  TTbar_Signal                                        Signal      13545.773214    13569.866626       22.650292       22.659458
  WJetsToLNu                                          Bkg             0.000000      -45.777195        0.000000       45.777195
  WW                                                  Bkg             5.121815        4.919216        0.829688        0.759650
  WZ                                                  Bkg             2.383928        1.746916        0.507055        0.436663
  ZZ                                                  Bkg             4.846961        4.462727        1.219326        1.185150

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  14126.000000  14085.000000  2425.235802  0.468648  0.531352  96.660318  98.032529  0.018112  16812.151722  0.000879
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           133.923249      120.986308       55.711482       72.966169
  DYJetsToLL_M_50                                     Bkg           373.394806      474.501182       63.952846       65.042539
  Data                                                Data        14126.000000    14085.000000      118.852850      118.680243
  ST_s-channel_4f_leptonDecays                        Bkg             1.304125        0.865076        0.310598        0.251616
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.212402        1.763003        0.409255        0.324805
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.955771        3.259107        0.400825        0.404100
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           216.910407      227.187006        4.311817        4.449090
