# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.014271  0.006513  -0.006513  84.680912  0.552661  -0.550512  -241328.442640  3
O2  0.007488  0.006514  -0.006514  84.681014  0.552558  -0.550614  -241325.953323  3
O3  0.013787  0.006513  -0.006514  84.680894  0.552678  -0.550494  -241328.523464  3
O4  -0.013787  0.006514  -0.006513  84.680894  0.552678  -0.550494  -241328.523464  3
O5  -0.010652  0.006513  -0.006514  84.680949  0.552624  -0.550549  -241326.174514  3
O6  -0.009534  0.006514  -0.006513  84.680985  0.552587  -0.550586  -241326.758123  3
O7  -0.000319  0.006514  -0.006513  84.680890  0.552682  -0.550491  -241326.349341  3
O8  0.013455  0.006513  -0.006513  84.680921  0.552651  -0.550522  -241328.469439  3
O9  0.006489  0.006513  -0.006514  84.681004  0.552568  -0.550604  -241325.925674  3
O10  -0.006570  0.006514  -0.006513  84.680937  0.552635  -0.550537  -241325.981113  3
O11  -0.007117  0.006514  -0.006513  84.681004  0.552568  -0.550604  -241326.200461  3
O12  -0.007472  0.006514  -0.006513  84.680932  0.552640  -0.550533  -241326.597474  3
O13  0.002745  0.006513  -0.006514  84.680926  0.552647  -0.550526  -241325.966084  3
