# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  56479.000000  56430.000000  7787.629949  0.486455  0.513545  118.206549  146.773308  0.067447  19520.000000  0.000619
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           291.973505      248.378047       91.594100       77.688165
  DYJetsToLL_M_50                                     Bkg           714.924063      816.743988       72.878213       71.334876
  Data                                                Data        56479.000000    56430.000000      237.653109      237.549995
  ST_s-channel_4f_leptonDecays                        Bkg             3.075739        3.519936        0.512787        0.469626
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.253429        6.572430        0.612368        0.651348
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.687908        9.809610        0.718441        0.734760
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1011.589626      990.824840       10.908878       10.789790
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           984.257837     1000.527036       10.544923       10.633224
  TTWJetsToLNu                                        Bkg            43.097066       42.226945        0.452443        0.450461
  TTWJetsToQQ                                         Bkg            34.254052       35.237886        1.779496        1.847549
  TTZToLLNuNu                                         Bkg            33.286283       33.236216        0.343553        0.341231
  TTZToQQ                                             Bkg            48.161575       48.366378        0.223567        0.223576
  TTbar_AllHadronic                                   Bkg             0.844862        1.089195        0.259864        0.284335
  TTbar_SemiLeptonic                                  Bkg           570.182386      584.113164        5.550088        5.616809
  TTbar_Signal                                        Signal      58655.278884    58582.700067       51.852111       51.813483
  WJetsToLNu                                          Bkg             0.000000      139.562831        0.000000      100.721037
  WW                                                  Bkg            23.613903       21.410293        1.931496        1.853827
  WZ                                                  Bkg             5.113927        4.965761        0.803268        0.794816
  ZZ                                                  Bkg             8.015389       12.713845        1.391322        1.846866

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  56407.000000  56502.000000  7787.629949  0.475629  0.524371  111.331573  152.054178  0.067447  19520.000000  0.000129
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           187.282409      353.069143       82.878129       86.926094
  DYJetsToLL_M_50                                     Bkg           735.765180      795.902871       72.482899       71.736516
  Data                                                Data        56407.000000    56502.000000      237.501579      237.701493
  ST_s-channel_4f_leptonDecays                        Bkg             3.125896        3.469778        0.486434        0.496872
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.948282        5.877577        0.640947        0.623246
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            10.121416        9.376103        0.747648        0.705020
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1001.676632     1000.737835       10.853460       10.845533
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           988.145728      996.639145       10.566881       10.611403
  TTWJetsToLNu                                        Bkg            42.752990       42.571021        0.451285        0.451621
  TTWJetsToQQ                                         Bkg            35.453282       34.038656        1.798936        1.828626
  TTZToLLNuNu                                         Bkg            32.887084       33.635414        0.342296        0.342493
  TTZToQQ                                             Bkg            48.161980       48.365973        0.223464        0.223679
  TTbar_AllHadronic                                   Bkg             0.739653        1.194403        0.241145        0.300374
  TTbar_SemiLeptonic                                  Bkg           573.318475      580.977075        5.564241        5.602788
  TTbar_Signal                                        Signal      58626.524419    58611.454532       51.836926       51.828674
  WJetsToLNu                                          Bkg             0.000000      139.562831        0.000000      100.721037
  WW                                                  Bkg            22.582224       22.441972        1.883599        1.902474
