# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.002474  0.003196  -0.003197  79.845114  0.255406  -0.255041  -1122449.864292  3
O2  0.002708  0.003196  -0.003197  79.845086  0.255433  -0.255014  -1122449.893625  3
O3  -0.001211  0.003197  -0.003196  79.845192  0.255328  -0.255119  -1122449.853876  3
O4  0.001211  0.003196  -0.003197  79.845192  0.255328  -0.255120  -1122449.853876  3
O5  0.000918  0.003196  -0.003197  79.845178  0.255342  -0.255106  -1122449.868047  3
O6  -0.003557  0.003197  -0.003196  79.845144  0.255376  -0.255072  -1122450.332988  3
O7  -0.002365  0.003197  -0.003196  79.845114  0.255406  -0.255041  -1122449.946765  3
O8  -0.002204  0.003197  -0.003196  79.845094  0.255426  -0.255022  -1122449.884166  3
O9  -0.001397  0.003196  -0.003197  79.845081  0.255438  -0.255009  -1122450.141613  3
O10  0.004407  0.003196  -0.003197  79.845141  0.255379  -0.255069  -1122449.944214  3
O11  -0.009080  0.003197  -0.003196  79.845108  0.255412  -0.255035  -1122452.054672  3
O12  -0.004144  0.003197  -0.003196  79.845140  0.255380  -0.255067  -1122449.946765  3
O13  -0.006656  0.003197  -0.003196  79.845114  0.255406  -0.255041  -1122450.368592  3
