# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  7523.000000  7387.000000  1138.995350  0.497861  0.502139  58.018544  55.054988  0.009047  19520.000000  -0.000572
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            17.978573       20.878093       44.312985       40.646918
  DYJetsToLL_M_50                                     Bkg           214.200401      226.775546       36.988217       36.678459
  Data                                                Data         7523.000000     7387.000000       86.735229       85.947658
  ST_s-channel_4f_leptonDecays                        Bkg             0.189036        0.067623        0.151568        0.117634
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.260727        0.611913        0.117616        0.213972
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.636812        0.828939        0.198231        0.213835
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           135.829364      128.627051        3.998739        3.892076
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           130.936127      128.371663        3.851699        3.815394
  TTWJetsToLNu                                        Bkg             5.573604        5.651427        0.165561        0.165703
  TTWJetsToQQ                                         Bkg             5.182763        4.159834        0.690481        0.673621
  TTZToLLNuNu                                         Bkg             4.803987        4.929962        0.132410        0.132148
  TTZToQQ                                             Bkg             6.727070        6.836075        0.083475        0.083464
  TTbar_AllHadronic                                   Bkg             0.064831        0.000000        0.064831        0.000000
  TTbar_SemiLeptonic                                  Bkg            42.031521       40.187514        1.517478        1.480377
  TTbar_Signal                                        Signal       7858.353981     7867.353069       18.992856       18.998222
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  ZZ                                                  Bkg             2.646180        4.008713        0.803356        1.030740

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  7410.000000  7500.000000  1138.995350  0.489482  0.510518  56.485571  56.626702  0.009047  19520.000000  -0.000744
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            -1.083870       39.940537       42.847927       42.188479
  DYJetsToLL_M_50                                     Bkg           232.151166      208.824781       36.346506       37.314461
  Data                                                Data         7410.000000     7500.000000       86.081357       86.602540
  ST_s-channel_4f_leptonDecays                        Bkg             0.132566        0.124093        0.115964        0.152849
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.435266        0.437375        0.176681        0.168528
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.886833        0.578917        0.227276        0.182665
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           132.303655      132.152760        3.945867        3.945669
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           126.411035      132.896756        3.780673        3.885786
  TTWJetsToLNu                                        Bkg             5.448131        5.776899        0.165602        0.165662
  TTWJetsToQQ                                         Bkg             4.352190        4.990407        0.673834        0.690272
  TTZToLLNuNu                                         Bkg             4.843746        4.890204        0.132739        0.131818
  TTZToQQ                                             Bkg             6.737219        6.825927        0.083282        0.083657
  TTbar_AllHadronic                                   Bkg             0.064831        0.000000        0.064831        0.000000
  TTbar_SemiLeptonic                                  Bkg            41.208755       41.010279        1.497713        1.500371
  TTbar_Signal                                        Signal       7857.005402     7868.701647       18.991507       18.999571
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  ZZ                                                  Bkg             3.626393        3.028499        0.945171        0.902474

# ===== O3 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O3  7430.000000  7480.000000  1138.995350  0.523795  0.476205  57.860752  55.220797  0.009047  19520.000000  -0.000389
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            35.852027        3.004639       44.599752       40.332055
