# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.010231  0.008865  -0.008868  77.979599  0.693272  -0.689598  -118037.726051  3
O2  -0.004796  0.008868  -0.008866  77.979575  0.693295  -0.689575  -118037.377419  3
O3  -0.007568  0.008868  -0.008866  77.979597  0.693274  -0.689597  -118037.189624  3
O4  0.007568  0.008866  -0.008868  77.979597  0.693274  -0.689597  -118037.189624  3
O5  0.004067  0.008866  -0.008868  77.979573  0.693298  -0.689572  -118037.482585  3
O6  -0.005817  0.008868  -0.008866  77.979585  0.693286  -0.689584  -118037.176747  3
O7  -0.005933  0.008868  -0.008866  77.979593  0.693278  -0.689592  -118037.270107  3
O8  0.001339  0.008866  -0.008867  77.979566  0.693305  -0.689565  -118037.149248  3
O9  0.005819  0.008866  -0.008868  77.979599  0.693272  -0.689598  -118037.105788  3
O10  0.018201  0.008867  -0.008868  77.979652  0.693219  -0.689651  -118037.309813  3
O11  -0.005330  0.008867  -0.008866  77.979583  0.693287  -0.689583  -118037.128457  3
O12  -0.016667  0.008868  -0.008867  77.979654  0.693217  -0.689654  -118037.196465  3
O13  -0.004684  0.008868  -0.008866  77.979587  0.693284  -0.689587  -118037.183051  3
