# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.002442  0.004097  -0.004098  80.121693  0.328676  -0.327928  -628280.484659  3
O2  0.005724  0.004097  -0.004098  80.121655  0.328714  -0.327890  -628280.763664  3
O3  -0.000250  0.004098  -0.004097  80.121772  0.328597  -0.328007  -628280.481692  3
O4  0.000250  0.004097  -0.004098  80.121772  0.328597  -0.328007  -628280.481692  3
O5  -0.002115  0.004098  -0.004097  80.121708  0.328661  -0.327943  -628280.604425  3
O6  -0.003157  0.004098  -0.004097  80.121664  0.328706  -0.327899  -628280.831250  3
O7  -0.001624  0.004098  -0.004097  80.121703  0.328666  -0.327938  -628280.494879  3
O8  -0.000855  0.004098  -0.004097  80.121688  0.328681  -0.327923  -628280.575653  3
O9  -0.002053  0.004098  -0.004097  80.121713  0.328657  -0.327948  -628280.487536  3
O10  0.003074  0.004097  -0.004098  80.121672  0.328698  -0.327907  -628280.550716  3
O11  -0.012020  0.004098  -0.004097  80.121650  0.328720  -0.327885  -628283.805230  3
O12  -0.002213  0.004098  -0.004097  80.121688  0.328681  -0.327923  -628280.654777  3
O13  -0.009868  0.004098  -0.004097  80.121650  0.328720  -0.327885  -628281.778358  3
