# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  15601.000000  15668.000000  2961.541775  0.494562  0.505438  99.489234  87.653162  0.018091  19520.000000  0.001056
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           273.994932      227.499954       80.161328       66.206337
  DYJetsToLL_M_50                                     Bkg           415.034873      485.047717       58.293421       56.786408
  Data                                                Data        15601.000000    15668.000000      124.903963      125.171882
  ST_s-channel_4f_leptonDecays                        Bkg             0.552823        1.188874        0.267352        0.283311
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.491656        2.274548        0.382955        0.397761
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.909392        2.790964        0.398775        0.391808
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           268.721105      260.897625        5.605978        5.527435
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           257.847935      264.921813        5.378575        5.462445
  TTWJetsToLNu                                        Bkg            11.310702       11.255790        0.231158        0.232103
  TTWJetsToQQ                                         Bkg             8.905272       10.510666        0.935875        0.975836
  TTZToLLNuNu                                         Bkg             9.934218        9.641223        0.186914        0.184850
  TTZToQQ                                             Bkg            13.367070       13.400041        0.117721        0.118286
  TTbar_AllHadronic                                   Bkg             0.487910        0.558552        0.203903        0.200799
  TTbar_SemiLeptonic                                  Bkg           185.484878      192.568130        3.153337        3.217924
  TTbar_Signal                                        Signal      15739.397872    15706.175738       26.832239       26.801811
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             6.982816        6.019198        1.060204        1.001387
  WZ                                                  Bkg             2.571062        2.247416        0.572108        0.527255
  ZZ                                                  Bkg             4.070003        6.052617        0.999277        1.260351

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  15535.000000  15734.000000  2961.541775  0.468123  0.531877  92.323138  95.171544  0.018091  19520.000000  -0.000882
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           188.366280      313.128606       70.942508       76.001830
  DYJetsToLL_M_50                                     Bkg           424.315329      475.767261       58.450724       56.624481
  Data                                                Data        15535.000000    15734.000000      124.639480      125.435242
  ST_s-channel_4f_leptonDecays                        Bkg             0.778639        0.963058        0.274174        0.276714
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.784346        1.981858        0.408078        0.371942
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             3.567345        2.133010        0.451002        0.330352
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           264.390703      265.228027        5.562731        5.570956
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           262.111668      260.658080        5.434800        5.406508
  TTWJetsToLNu                                        Bkg            11.344678       11.221814        0.230825        0.232434
  TTWJetsToQQ                                         Bkg            10.315742        9.100195        0.943682        0.968289
  TTZToLLNuNu                                         Bkg             9.517476       10.057965        0.186207        0.185563
  TTZToQQ                                             Bkg            13.393548       13.373563        0.118106        0.117902
  TTbar_AllHadronic                                   Bkg             0.394430        0.652033        0.183971        0.219206
  TTbar_SemiLeptonic                                  Bkg           182.203184      195.849824        3.124849        3.245595
  TTbar_Signal                                        Signal      15708.920853    15736.652756       26.805657       26.828397
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             5.493966        7.508048        0.945635        1.110218
  WZ                                                  Bkg             2.408885        2.409593        0.531854        0.567835
  ZZ                                                  Bkg             4.980162        5.142458        1.158034        1.116242

# ===== O3 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O3  15664.000000  15605.000000  2961.541775  0.511192  0.488808  99.426628  87.724172  0.018091  19520.000000  0.000302
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           311.326205      190.168680       79.712231       66.746368
  DYJetsToLL_M_50                                     Bkg           430.575231      469.507360       58.803897       56.257629
