# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  -0.001229  0.006247  -0.006246  80.161763  0.501578  -0.499924  -270703.162059  3
O2  -0.000359  0.006246  -0.006247  80.161750  0.501590  -0.499911  -270703.723513  3
O3  -0.000258  0.006247  -0.006246  80.161676  0.501664  -0.499837  -270703.145940  3
O4  0.000258  0.006246  -0.006247  80.161676  0.501664  -0.499837  -270703.145940  3
O5  0.006140  0.006247  -0.006246  80.161702  0.501638  -0.499863  -270703.190074  3
O6  -0.003347  0.006246  -0.006247  80.161721  0.501619  -0.499883  -270703.162059  3
O7  -0.002279  0.006248  -0.006245  80.161767  0.501573  -0.499929  -270703.309170  3
O8  -0.006927  0.006246  -0.006247  80.161712  0.501628  -0.499873  -270703.494530  3
O9  -0.003448  0.006247  -0.006247  80.161763  0.501577  -0.499925  -270704.370941  3
O10  0.000665  0.006247  -0.006246  80.161741  0.501599  -0.499903  -270703.105645  3
O11  -0.004357  0.006246  -0.006247  80.161733  0.501608  -0.499894  -270703.157837  3
O12  -0.002354  0.006246  -0.006247  80.161756  0.501584  -0.499918  -270703.145940  3
O13  -0.000462  0.006246  -0.006247  80.161745  0.501595  -0.499906  -270703.332196  3
