# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  -0.002795  0.002562  -0.002564  88.177967  0.226057  -0.225950  -1764461.934000  3
O2  -0.000799  0.002563  -0.002563  88.177989  0.226035  -0.225972  -1764461.696931  3
O3  -0.000846  0.002563  -0.002563  88.177957  0.226043  -0.225963  -1764461.682989  3
O4  0.000846  0.002563  -0.002564  88.177956  0.226044  -0.225962  -1764461.682989  3
O5  0.000515  0.002563  -0.002563  88.177959  0.226041  -0.225965  -1764462.007461  3
O6  0.000182  0.002563  -0.002563  88.177962  0.226039  -0.225968  -1764461.732488  3
O7  -0.002194  0.002563  -0.002563  88.177990  0.226034  -0.225972  -1764462.197192  3
O8  -0.001894  0.002563  -0.002563  88.177986  0.226037  -0.225969  -1764461.920435  3
O9  -0.003602  0.002562  -0.002564  88.177933  0.226067  -0.225939  -1764463.115573  3
O10  0.003695  0.002564  -0.002562  88.177911  0.226089  -0.225917  -1764462.068718  3
O11  0.000078  0.002564  -0.002562  88.177938  0.226063  -0.225944  -1764461.740467  3
O12  -0.000087  0.002563  -0.002563  88.177957  0.226044  -0.225962  -1764461.732488  3
O13  0.000623  0.002563  -0.002563  88.177959  0.226041  -0.225965  -1764461.980682  3
