# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  85069.000000  85362.000000  9359.346187  0.508402  0.491598  146.250613  43.166103  0.044040  41477.877399  0.000119
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000        0.000000        0.000000        0.000000
  DYJetsToLL_M_50                                     Bkg           213.335987      294.758960       37.794244       39.286551
  Data                                                Data        85069.000000    85362.000000      291.665905      292.167760
  ST_s-channel_4f_leptonDecays                        Bkg             5.409114        5.714027        0.578083        0.607558
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             9.776693       10.535585        0.721239        0.776407
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            18.003792       15.735171        0.938938        0.882231
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1503.982334     1474.873171       11.379863       11.264943
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          1481.078774     1478.189419       11.238920       11.232256
  TTWJetsToLNu                                        Bkg            58.692218       59.097907        0.460429        0.459556
  TTWJetsToQQ                                         Bkg            43.256117       41.806671        1.843837        1.822169
  TTZToLLNuNu                                         Bkg            42.813438       43.085797        0.346212        0.346343
  TTZToQQ                                             Bkg            63.027687       62.979910        0.283578        0.283609
  TTbar_AllHadronic                                   Bkg             2.004373        2.110963        0.370864        0.382743
  TTbar_SemiLeptonic                                  Bkg          1066.547617     1059.516287        6.792435        6.768130
  TTbar_Signal                                        Signal      81340.474328    81321.088544       50.891352       50.645682
  WJetsToLNu                                          Bkg           196.392508        0.000000      140.132993        0.000000
  WW                                                  Bkg            44.023066       42.376772        3.656753        3.589977
  WZ                                                  Bkg             6.288257        5.243765        1.300971        1.127354
  ZZ                                                  Bkg             3.678871        5.010936        0.937698        1.105323

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  85251.000000  85180.000000  9359.346187  0.510664  0.489336  146.182355  43.396697  0.044040  41477.877399  0.000365
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000        0.000000        0.000000        0.000000
  DYJetsToLL_M_50                                     Bkg           240.809881      267.285066       37.524749       39.544041
