# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  26760.000000  26803.000000  4727.985382  0.498797  0.501203  141.796601  137.496970  0.009809  59832.422397  0.000198
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           231.112347      206.642849      109.558038      103.452461
  DYJetsToLL_M_50                                     Bkg           960.738783      990.156546       89.441517       89.996560
  Data                                                Data        26760.000000    26803.000000      163.584840      163.716218
  ST_s-channel_4f_leptonDecays                        Bkg             0.725696        0.855785        0.217551        0.251562
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.355568        2.943260        0.367896        0.390408
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.132192        2.664155        0.333009        0.353386
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           458.790170      467.576710        6.557436        6.627865
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           458.859807      459.424243        6.474095        6.470847
  TTWJetsToLNu                                        Bkg            19.427241       19.177427        0.261346        0.261262
  TTWJetsToQQ                                         Bkg            15.443586       15.842960        1.095019        1.113203
  TTZToLLNuNu                                         Bkg            17.334157       17.382035        0.221753        0.223077
  TTZToQQ                                             Bkg            22.220910       22.420091        0.176448        0.177468
  TTbar_AllHadronic                                   Bkg             0.000000        0.238596        0.000000        0.119364
  TTbar_SemiLeptonic                                  Bkg           138.866820      134.774253        2.390120        2.359719
  TTbar_Signal                                        Signal      26135.644603    26125.305628       29.361637       29.356470
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            15.607783       10.967722        2.653189        2.223141
  WZ                                                  Bkg             3.252077        6.886510        1.039425        1.609369
  ZZ                                                  Bkg            11.437772       11.727331        1.771957        1.726184

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  26861.000000  26702.000000  4727.985382  0.515687  0.484313  142.325479  136.949446  0.009809  59832.422397  -0.000025
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           244.219704      193.535492      109.295461      103.729829
  DYJetsToLL_M_50                                     Bkg          1012.502991      938.392338       90.578287       88.852347
  Data                                                Data        26861.000000    26702.000000      163.893258      163.407466
  ST_s-channel_4f_leptonDecays                        Bkg             0.874116        0.707365        0.226855        0.243205
