# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  -0.000648  0.004739  -0.004739  83.210912  0.394726  -0.393971  -492536.796343  3
O2  0.000218  0.004740  -0.004738  83.210760  0.394878  -0.393818  -492537.015076  3
O3  -0.009849  0.004738  -0.004740  83.210782  0.394856  -0.393840  -492536.823526  3
O4  0.009849  0.004740  -0.004738  83.210781  0.394857  -0.393839  -492536.823526  3
O5  0.007732  0.004738  -0.004740  83.210780  0.394858  -0.393838  -492539.066375  3
O6  0.015864  0.004740  -0.004739  83.210748  0.394890  -0.393806  -492537.405273  3
O7  0.006378  0.004738  -0.004740  83.210803  0.394835  -0.393861  -492537.058464  3
O8  -0.001031  0.004740  -0.004738  83.210787  0.394851  -0.393845  -492536.813817  3
O9  -0.000485  0.004740  -0.004738  83.210803  0.394835  -0.393861  -492536.781780  3
O10  -0.002837  0.004740  -0.004738  83.210770  0.394868  -0.393828  -492536.866914  3
O11  0.017674  0.004740  -0.004739  83.210727  0.394911  -0.393785  -492538.009130  3
O12  0.005841  0.004738  -0.004740  83.210774  0.394864  -0.393832  -492536.779839  3
O13  0.004201  0.004739  -0.004740  83.210846  0.394792  -0.393905  -492536.779540  3
