# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.001411  0.002171  -0.002173  85.566083  0.185908  -0.185759  -2519738.110527  3
O2  -0.005767  0.002172  -0.002171  85.566039  0.185952  -0.185715  -2519741.420152  3
O3  -0.000634  0.002172  -0.002171  85.566182  0.185809  -0.185859  -2519738.289975  3
O4  0.000634  0.002171  -0.002172  85.566181  0.185810  -0.185858  -2519738.289975  3
O5  -0.001534  0.002173  -0.002171  85.566106  0.185885  -0.185782  -2519738.176442  3
O6  -0.001733  0.002173  -0.002171  85.566077  0.185914  -0.185753  -2519738.171993  3
O7  -0.001233  0.002173  -0.002171  85.566075  0.185916  -0.185752  -2519738.116934  3
O8  0.001904  0.002171  -0.002173  85.566175  0.185816  -0.185852  -2519738.123554  3
O9  -0.002556  0.002172  -0.002171  85.566057  0.185934  -0.185734  -2519738.412068  3
O10  -0.000762  0.002172  -0.002171  85.566181  0.185810  -0.185858  -2519738.270718  3
O11  0.002149  0.002171  -0.002173  85.566084  0.185907  -0.185761  -2519738.897761  3
O12  -0.001165  0.002172  -0.002172  85.566187  0.185804  -0.185863  -2519738.219457  3
O13  -0.004560  0.002172  -0.002171  85.566042  0.185949  -0.185718  -2519738.902940  3
