# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  55105.000000  54486.000000  10717.755894  0.516261  0.483739  223.816570  208.476382  0.019400  59832.422397  0.000201
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           847.616962      466.062166      176.858144      158.879408
  DYJetsToLL_M_50                                     Bkg          1856.007693     1888.794071      136.296166      134.085865
  Data                                                Data        55105.000000    54486.000000      234.744542      233.422364
  ST_s-channel_4f_leptonDecays                        Bkg             4.533854        5.282174        0.533738        0.573240
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            14.092781       17.427703        0.929515        0.994430
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            12.756381       15.775056        0.841370        0.900130
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           915.551283      926.367062        9.554774        9.618678
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           921.253040      890.568522        9.454761        9.297982
  TTWJetsToLNu                                        Bkg            37.366497       38.027829        0.378384        0.380008
  TTWJetsToQQ                                         Bkg            30.895287       32.359353        1.597160        1.589538
  TTZToLLNuNu                                         Bkg            32.430546       31.768989        0.314558        0.313789
  TTZToQQ                                             Bkg            43.714536       43.878051        0.254926        0.254432
  TTbar_AllHadronic                                   Bkg             1.709950        1.977365        0.358333        0.371815
  TTbar_SemiLeptonic                                  Bkg           764.851335      769.018522        5.813727        5.837400
  TTbar_Signal                                        Signal      51692.246571    51671.480624       42.612254       42.601249
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            22.354890       28.173991        3.209793        3.664111
  WZ                                                  Bkg            10.321753        9.926915        1.992222        1.941765
  ZZ                                                  Bkg            17.699717       19.191622        2.192886        2.318055

# ===== O2 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O2  54853.000000  54738.000000  10717.755894  0.520720  0.479280  214.217370  218.328141  0.019400  59832.422397  -0.000413
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           809.175063      504.504065      165.684698      170.499414
  DYJetsToLL_M_50                                     Bkg          1953.883455     1790.918310      134.907683      135.482770
  Data                                                Data        54853.000000    54738.000000      234.207173      233.961535
  ST_s-channel_4f_leptonDecays                        Bkg             4.867142        4.948885        0.515948        0.589303
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            16.015433       15.505051        0.969415        0.955575
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            14.496710       14.034727        0.877487        0.864959
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           919.527194      922.391151        9.574440        9.599103
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           906.849628      904.971934        9.379834        9.373564
  TTWJetsToLNu                                        Bkg            37.264002       38.130323        0.378245        0.380146
  TTWJetsToQQ                                         Bkg            32.959350       30.295290        1.622976        1.563169
  TTZToLLNuNu                                         Bkg            31.602784       32.596751        0.313852        0.314495
  TTZToQQ                                             Bkg            43.970004       43.622583        0.254937        0.254420
  TTbar_AllHadronic                                   Bkg             2.074448        1.612867        0.387090        0.341774
  TTbar_SemiLeptonic                                  Bkg           758.743121      775.126736        5.791262        5.859688
  TTbar_Signal                                        Signal      51660.520773    51703.206422       42.596594       42.616908
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            23.648259       26.880622        3.330270        3.554966
  WZ                                                  Bkg             9.318045       10.930623        1.894866        2.036882
  ZZ                                                  Bkg            16.553013       20.338326        2.154571        2.353710

# ===== O3 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O3  55063.000000  54528.000000  10717.756639  0.519975  0.480025  218.734466  213.802462  0.019400  59832.422397  -0.000124
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           870.833912      442.845216      172.399863      163.706312
  DYJetsToLL_M_50                                     Bkg          1869.705837     1875.095927      133.732510      136.642891
  Data                                                Data        55063.000000    54528.000000      234.655066      233.512312
  ST_s-channel_4f_leptonDecays                        Bkg             4.436324        5.379704        0.518756        0.586832
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            14.930646       16.589838        0.961263        0.963775
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            13.514792       15.016645        0.870108        0.872382
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           917.223026      924.695319        9.559947        9.613537
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           916.782963      895.038599        9.430853        9.322231
  TTWJetsToLNu                                        Bkg            37.635710       37.758616        0.378567        0.379825
  TTWJetsToQQ                                         Bkg            32.868536       30.386104        1.600718        1.585954
  TTZToLLNuNu                                         Bkg            32.271880       31.927655        0.315061        0.313284
  TTZToQQ                                             Bkg            43.874055       43.719277        0.255051        0.254307
  TTbar_AllHadronic                                   Bkg             2.250330        1.436985        0.408172        0.316298
  TTbar_SemiLeptonic                                  Bkg           767.692483      766.177374        5.826032        5.825119
  TTbar_Signal                                        Signal      51675.471878    51688.326654       42.602371       42.611163
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            22.951779       27.577102        3.333894        3.551567
  WZ                                                  Bkg             9.520584       10.728084        1.941197        1.992776
  ZZ                                                  Bkg            16.473210       20.418129        2.126842        2.378796

# ===== O4 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O4  54528.000000  55063.000000  10717.756639  0.480025  0.519975  213.802462  218.734466  0.019400  59832.422397  0.000124
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           442.845216      870.833912      163.706312      172.399863
  DYJetsToLL_M_50                                     Bkg          1875.095927     1869.705837      136.642891      133.732510
  Data                                                Data        54528.000000    55063.000000      233.512312      234.655066
  ST_s-channel_4f_leptonDecays                        Bkg             5.379704        4.436324        0.586832        0.518756
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            16.589838       14.930646        0.963775        0.961263
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            15.016645       13.514792        0.872382        0.870108
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           924.695319      917.223026        9.613537        9.559947
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           895.038599      916.782963        9.322231        9.430853
  TTWJetsToLNu                                        Bkg            37.758616       37.635710        0.379825        0.378567
  TTWJetsToQQ                                         Bkg            30.386104       32.868536        1.585954        1.600718
  TTZToLLNuNu                                         Bkg            31.927655       32.271880        0.313284        0.315061
  TTZToQQ                                             Bkg            43.719277       43.874055        0.254307        0.255051
  TTbar_AllHadronic                                   Bkg             1.436985        2.250330        0.316298        0.408172
  TTbar_SemiLeptonic                                  Bkg           766.177374      767.692483        5.825119        5.826032
  TTbar_Signal                                        Signal      51688.326654    51675.471878       42.611163       42.602371
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            27.577102       22.951779        3.551567        3.333894
  WZ                                                  Bkg            10.728084        9.520584        1.992776        1.941197
  ZZ                                                  Bkg            20.418129       16.473210        2.378796        2.126842

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  54586.000000  55005.000000  10717.756639  0.507206  0.492794  224.296910  207.959504  0.019400  59832.422397  -0.000244
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           703.554825      610.124303      178.188041      157.386439
  DYJetsToLL_M_50                                     Bkg          1894.768759     1850.033006      135.341931      135.048975
  Data                                                Data        54586.000000    55005.000000      233.636470      234.531448
  ST_s-channel_4f_leptonDecays                        Bkg             5.005457        4.810571        0.559938        0.547677
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            15.391070       16.129414        0.954280        0.970690
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            13.931554       14.599883        0.863787        0.878641
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           933.459029      908.459316        9.652388        9.520719
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           895.154190      916.667372        9.325272        9.427846
  TTWJetsToLNu                                        Bkg            37.638279       37.756046        0.379974        0.378418
  TTWJetsToQQ                                         Bkg            33.218195       30.036445        1.612890        1.573574
  TTZToLLNuNu                                         Bkg            32.179558       32.019977        0.313948        0.314399
  TTZToQQ                                             Bkg            43.608006       43.985326        0.254532        0.254827
  TTbar_AllHadronic                                   Bkg             1.789417        1.897898        0.365057        0.365215
  TTbar_SemiLeptonic                                  Bkg           768.991619      764.878238        5.830480        5.820666
  TTbar_Signal                                        Signal      51669.290198    51694.508335       42.603357       42.610177
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            26.094887       24.433994        3.450398        3.438493
  WZ                                                  Bkg             9.445325       10.803343        1.884990        2.046024
  ZZ                                                  Bkg            21.877784       15.013554        2.468334        2.022241

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  54646.000000  54945.000000  10717.756639  0.485961  0.514039  211.699725  220.770210  0.019400  59832.422397  0.001160
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           462.347224      851.331904      161.123324      174.816314
  DYJetsToLL_M_50                                     Bkg          1919.705753     1825.096012      136.439871      133.939635
  Data                                                Data        54646.000000    54945.000000      233.764839      234.403498
  ST_s-channel_4f_leptonDecays                        Bkg             5.101957        4.714071        0.573781        0.533156
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            16.670712       14.849772        0.972127        0.952816
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            15.089850       13.441587        0.879941        0.862462
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           926.820953      915.097392        9.618176        9.555280
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           897.249951      914.571611        9.333332        9.419867
  TTWJetsToLNu                                        Bkg            37.650185       37.744140        0.380259        0.378131
  TTWJetsToQQ                                         Bkg            30.152124       33.102515        1.577748        1.608807
  TTZToLLNuNu                                         Bkg            32.446950       31.752585        0.313845        0.314503
  TTZToQQ                                             Bkg            43.857834       43.735498        0.255060        0.254298
  TTbar_AllHadronic                                   Bkg             1.368261        2.319054        0.308608        0.414017
  TTbar_SemiLeptonic                                  Bkg           762.273526      771.596330        5.809493        5.841613
  TTbar_Signal                                        Signal      51741.866286    51621.932246       42.632515       42.581003
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            27.390929       23.137952        3.558823        3.326148
  WZ                                                  Bkg            10.377144        9.871524        1.923882        2.009498
  ZZ                                                  Bkg            19.909057       16.982282        2.351847        2.156605

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  54443.000000  55148.000000  10717.755894  0.498875  0.501125  209.812365  222.564666  0.019400  59832.422397  0.001038
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           547.028756      766.650372      159.144418      176.619714
  DYJetsToLL_M_50                                     Bkg          1962.644274     1782.157491      135.843318      134.544628
  Data                                                Data        54443.000000    55148.000000      233.330238      234.836113
  ST_s-channel_4f_leptonDecays                        Bkg             4.705323        5.110705        0.567457        0.539883
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            16.887021       14.633462        0.982517        0.942099
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            15.285647       13.245790        0.889346        0.852761
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           919.498809      922.419536        9.580438        9.593117
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           905.242981      906.578581        9.377661        9.375738
  TTWJetsToLNu                                        Bkg            37.659819       37.734506        0.378541        0.379851
  TTWJetsToQQ                                         Bkg            31.743200       31.511440        1.582935        1.603704
  TTZToLLNuNu                                         Bkg            31.881274       32.318261        0.313503        0.314843
  TTZToQQ                                             Bkg            43.982923       43.609664        0.254902        0.254455
  TTbar_AllHadronic                                   Bkg             1.689904        1.997411        0.350487        0.379219
  TTbar_SemiLeptonic                                  Bkg           772.174629      761.695228        5.845346        5.805737
  TTbar_Signal                                        Signal      51735.486276    51628.240918       42.628834       42.584659
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            26.713055       23.815826        3.567809        3.316507
  WZ                                                  Bkg            11.078263        9.170405        2.029763        1.902489
  ZZ                                                  Bkg            18.608762       18.282576        2.262633        2.250026

# ===== O8 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O8  55040.000000  54551.000000  10717.755894  0.481616  0.518384  213.452706  219.075789  0.019400  59832.422397  0.000516
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           614.371089      699.308039      163.639143      172.463620
  DYJetsToLL_M_50                                     Bkg          1715.724416     2029.077349      136.182506      134.201301
  Data                                                Data        55040.000000    54551.000000      234.606053      233.561555
  ST_s-channel_4f_leptonDecays                        Bkg             5.272795        4.543233        0.561586        0.545987
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            16.237322       15.283162        0.967333        0.957683
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            14.697558       13.833879        0.875602        0.866867
