# CPV likelihood fit results
# Obs  Asym  ErrPlus  ErrMinus  Sigma_tt  SigErrP  SigErrM  FitMin  Status
O1  0.002735  0.003348  -0.003348  85.179660  0.285482  -0.284911  -1086197.969344  3
O2  -0.003329  0.003349  -0.003348  85.179673  0.285468  -0.284925  -1086196.281532  3
O3  0.001080  0.003348  -0.003348  85.179664  0.285478  -0.284915  -1086197.527077  3
O4  -0.001080  0.003348  -0.003348  85.179663  0.285478  -0.284915  -1086197.527077  3
O5  -0.005801  0.003349  -0.003347  85.179709  0.285433  -0.284960  -1086197.022179  3
O6  0.000020  0.003347  -0.003349  85.179687  0.285454  -0.284939  -1086196.629079  3
O7  -0.006887  0.003349  -0.003348  85.179773  0.285368  -0.285025  -1086198.488846  3
O8  0.008931  0.003349  -0.003348  85.179681  0.285461  -0.284933  -1086197.312168  3
O9  -0.000878  0.003348  -0.003349  85.179664  0.285477  -0.284916  -1086196.336537  3
O10  0.012798  0.003349  -0.003348  85.179674  0.285467  -0.284926  -1086199.222020  3
O11  0.008326  0.003348  -0.003348  85.179661  0.285480  -0.284913  -1086199.619177  3
O12  -0.012417  0.003349  -0.003347  85.179773  0.285369  -0.285025  -1086198.794423  3
O13  0.005567  0.003348  -0.003348  85.179660  0.285481  -0.284912  -1086196.757959  3
